identifier,lookup_type,sha1,location_type,location,stimulus_set_identifier,class
bonner2021.object2vec,stimulus_set,3e02db41c90f7b99f4b9bd5a1757c2a46cc50f92,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/bonner2021.object2vec.zip,,
bonner2021.object2vec,stimulus_set,cf8d63af2f1f5e9d9113316e9953506cce13c02b,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/bonner2021.object2vec.csv,,
bonner2021.object2vec-subject0,assembly,0887e28ece5a9bdf84030ea020d3c5f25a295e42,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/bonner2021.object2vec-subject0.nc,bonner2021.object2vec,
bonner2021.object2vec-subject1,assembly,f4bb2f5ac0757c929e078d2986bf8935338b99ae,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/bonner2021.object2vec-subject1.nc,bonner2021.object2vec,
bonner2021.object2vec-subject2,assembly,e9993856b30f8fb0a693d489e577e03af965f663,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/bonner2021.object2vec-subject2.nc,bonner2021.object2vec,
bonner2021.object2vec-subject3,assembly,2203c1ffb21b75104357245793c8afc9d9c91b04,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/bonner2021.object2vec-subject3.nc,bonner2021.object2vec,
allen2021.natural-scenes,stimulus_set,f2155ff8b90994157897746a2298c11968f7fac4,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes.csv,,
allen2021.natural-scenes,stimulus_set,cfbf58b0d6c5c0ccd37dae2df499cfe2985e16c9,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes.zip,,
allen2021.natural-scenes-subject0,assembly,e0a8c4464eb0b8a263c63e8d19acd112f3557905,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject0.nc,allen2021.natural-scenes,
allen2021.natural-scenes-subject1,assembly,50b410eac0d0716dfbfd00eb43b0c0bc724a6cb5,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject1.nc,allen2021.natural-scenes,
allen2021.natural-scenes-subject2,assembly,dfc648313d13e126817e457fdc28fb874fd1655e,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject2.nc,allen2021.natural-scenes,
allen2021.natural-scenes-subject3,assembly,38bfe0456b224aadaba0e0538e045d87964e2131,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject3.nc,allen2021.natural-scenes,
allen2021.natural-scenes-subject4,assembly,0d3dbf82ee858c8f28b92ecdb396fd6a0e298d74,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject4.nc,allen2021.natural-scenes,
allen2021.natural-scenes-subject5,assembly,0de990e37609187fba22ad41d420ff89b8883a7d,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject5.nc,allen2021.natural-scenes,
allen2021.natural-scenes-subject6,assembly,3498f82f98945ca718499e4a03a89cbae7e7f4a3,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject6.nc,allen2021.natural-scenes,
allen2021.natural-scenes-subject7,assembly,e24039159138f3bb6ed10e9eec89e29d0b9832a8,rsync,cogsci-ml.win.ad.jhu.edu:/export/data2/shared/brainio/bonner-datasets/allen2021.natural-scenes-subject7.nc,allen2021.natural-scenes,
